non-inclusive,inclusive,Category
Their foremanships ensured timely completion., Their forepersonships ensured timely completion.,Gender
He relied on gamesmanship to win the debate., He relied on unsporting tactic to win the debate.,Gender
Their gamesmanships frustrated the opponents., Their unsporting tactics frustrated the opponents.,Gender
His gentlemanship impressed everyone at the event., His refinedness impressed everyone at the event.,Gender
Their gentlemanships were admired widely., Their refinednesses were admired widely.,Gender
Her grantsmanship secured funding for the project., Her grant acquisition expertise secured funding for the project.,Gender
Their grantsmanships helped many organizations., Their grant acquisition expertises helped many organizations.,Gender
The display showed remarkable handcraftsmanship., The display showed remarkable handcraftspersonship.,Gender
Their handcraftsmanships reflected cultural heritage., Their handcraftspersonships reflected cultural heritage.,Gender
Her horsemanship won several awards., Her equestrian skill won several awards.,Gender
Their horsemanships were evident in competitions., Their equestrian skills were evident in competitions.,Gender
His journeymanship showed deep experience., His artisanship showed deep experience.,Gender
Their journeymanships improved over time., Their artisanships improved over time.,Gender
His manship was evident in adversity., His courage was evident in adversity.,Gender
Their manships inspired the group., Their courages inspired the group.,Gender
Her marksmanship hit every target., Her sharpshooting skill hit every target.,Gender
Their marksmanships impressed the judges., Their sharpshooting skills impressed the judges.,Gender
His oarsmanship helped the team win., His rowing skill helped the team win.,Gender
Their oarsmanships improved with practice., Their rowing skills improved with practice.,Gender
Her penmanship was beautiful and clear., Her calligraphy was beautiful and clear.,Gender
Their penmanships were displayed in the gallery., Their calligraphies were displayed in the gallery.,Gender
His salesmanship convinced many customers., His selling skill convinced many customers.,Gender
Their salesmanships boosted company revenue., Their selling skills boosted company revenue.,Gender
Her seamanship guided the ship safely., Her marine skill guided the ship safely.,Gender
Their seamanships were tested during the storm., Their marine skills were tested during the storm.,Gender
His showmanship entertained the audience., His performing skill entertained the audience.,Gender
Their showmanships attracted large crowds., Their performing skills attracted large crowds.,Gender
Her sportsmanship earned respect from opponents., Her athletic skill earned respect from opponents.,Gender
Their sportsmanships were praised after the game., Their athletic skills were praised after the game.,Gender
His statesmanship shaped national policy., His public management skill shaped national policy.,Gender
Their statesmanships influenced governance., Their public management skills influenced governance.,Gender
Her stockmanship improved farm productivity., Her livestock raising skill improved farm productivity.,Gender
Their stockmanships benefited the ranch., Their livestock raising skills benefited the ranch.,Gender
His swordsmanship impressed the crowd., His fencing skill impressed the crowd.,Gender
Their swordsmanships were displayed in the tournament., Their fencing skills were displayed in the tournament.,Gender
His upmanship created tension in the team., His competitive behavior created tension in the team.,Gender
Their upmanships affected group harmony., Their competitive behaviors affected group harmony.,Gender
Her workmanship was flawless., Her workpersonship was flawless.,Gender
Their workmanships were recognized internationally., Their workpersonships were recognized internationally.,Gender
The ambulancewoman arrived at the scene quickly., The emergency medical technician arrived at the scene quickly.,Gender
The ambulancewomen transported the injured carefully., The emergency medical technicians transported the injured carefully.,Gender
The anchorwoman delivered the news calmly., The anchorperson delivered the news calmly.,Gender
The anchorwomen reported from the field., The anchorpeople reported from the field.,Gender
He was known for his anti-woman views., He was known as a misogynist.,Gender
They were criticized as anti-women activists., They were criticized as misogynists.,Gender
He openly expressed antiwoman opinions., He openly expressed misogynist opinions.,Gender
They were labeled as antiwomen campaigners., They were labeled as misogynists.,Gender
The bogeywoman frightened children in the tale., The monster frightened children in the tale.,Gender
The bogeywomen appeared in old stories., The monsters appeared in old stories.,Gender
The bondwoman lived without freedom., The slave lived without freedom.,Gender
The bondwomen endured harsh treatment., The slaves endured harsh treatment.,Gender
The businesswoman launched a startup., The businessperson launched a startup.,Gender
The businesswomen attended the summit., The businesspeople attended the summit.,Gender
The cavewoman discovered fire., The caveperson discovered fire.,Gender
The cavewomen painted on cave walls., The cavepeople painted on cave walls.,Gender
The charwoman cleaned the house thoroughly., The cleaner cleaned the house thoroughly.,Gender
The charwomen worked across the neighborhood., The cleaners worked across the neighborhood.,Gender
The congresswoman addressed the assembly., The congressperson addressed the assembly.,Gender
The congresswomen debated the proposal., The congresspeople debated the proposal.,Gender
The craftswoman displayed her art., The craftsoerson displayed their art.,Gender
The craftswomen exhibited their creations., The craftsoersons exhibited their creations.,Gender
The everywoman related to the story., The ordinary person related to the story.,Gender
The everywomen connected with the message., The ordinary people connected with the message.,Gender
The fisherwoman cast her net into the sea., The fisher cast her net into the sea.,Gender
The fisherwomen returned with fresh catch., The fishers returned with fresh catch.,Gender
The forewoman supervised the site., The foreperson supervised the site.,Gender
The forewomen managed the workers., The forepeople managed the workers.,Gender
The frontierswoman explored new lands., The explorer explored new lands.,Gender
The frontierswomen traveled across the region., The explorers traveled across the region.,Gender
The frontwoman led the band confidently., The frontperson led the band confidently.,Gender
The frontwomen performed on stage., The frontpeople performed on stage.,Gender
The gentlewoman greeted guests politely., The refined person greeted guests politely.,Gender
The gentlewomen attended the ceremony., The refined people attended the ceremony.,Gender
The hitwoman waited for the signal., The assassin waited for the signal.,Gender
The hitwomen operated secretly., The assassins operated secretly.,Gender
The horsewoman competed in the race., The equestrian competed in the race.,Gender
The horsewomen trained daily., The equestrians trained daily.,Gender
The madwoman shouted loudly in the street., The maniac shouted loudly in the street.,Gender
The madwomen wandered around the town., The maniacs wandered around the town.,Gender
The man-woman showed great strength., The masculine person showed great strength.,Gender
The man-women worked together., The masculine people worked together.,Gender
The manwoman completed the task alone., The masculine person completed the task alone.,Gender
The manwomen supported each other., The masculine people supported each other.,Gender
The markswoman hit the bullseye., The sharpshooter hit the bullseye.,Gender
The markswomen competed in the contest., The sharpshooters competed in the contest.,Gender
The newswoman covered the live event., The reporter covered the live event.,Gender
The newswomen interviewed witnesses., The reporters interviewed witnesses.,Gender
The noblewoman attended the gathering., The noble person attended the gathering.,Gender
The noblewomen met at the palace., The noble people met at the palace.,Gender
The policewoman patrolled the area., The police officer patrolled the area.,Gender
The policewomen responded quickly., The police officers responded quickly.,Gender
The selectwoman joined the board., The member of the board joined the board.,Gender
The selectwomen voted on the issue., The members of the board voted on the issue.,Gender
The servicewoman returned from duty., The service member returned from duty.,Gender
The servicewomen marched in formation., The service members marched in formation.,Gender
The spokeswoman addressed the press., The spokesperson addressed the press.,Gender
The spokeswomen answered questions., The spokespeople answered questions.,Gender
The spokewoman made a brief statement., The spokeperson made a brief statement.,Gender
The spokewomen spoke to reporters., The spokepeople spoke to reporters.,Gender
The sportswoman won the gold medal., The athlete won the gold medal.,Gender
The sportswomen trained hard daily., The athletes trained hard daily.,Gender
The stateswoman proposed new reforms., The statesperson proposed new reforms.,Gender
The stateswomen discussed policies., The statespeople discussed policies.,Gender
The swordswoman practiced her moves., The fencer practiced their moves.,Gender
The swordswomen competed in tournaments., The fencers competed in tournaments.,Gender
The tribeswoman shared stories of tradition., The tribesperson shared stories of tradition.,Gender
The tribeswomen celebrated the festival., The tribespeople celebrated the festival.,Gender
The washerwoman cleaned clothes by the river., The washer cleaned clothes by the river.,Gender
The washerwomen worked together., The Washers worked together.,Gender
Her womanism influenced the movement., Her Feminism influenced the movement.,Gender
Their womanisms shaped discussions., Their Feminisms shaped discussions.,Gender
She identified as a womanist., She identified as a Feminist.,Gender
They called themselves womanists., They called themselves Feminists.,Gender
The concept of womankind promotes unity., The concept of Humankind promotes unity.,Gender
The ideas of womankinds were debated., The ideas of Humankinds were debated.,Gender
Her womanly grace impressed everyone., Her Feminine grace impressed everyone.,Gender
Her stateswomanship guided the nation., Her Statespersonship guided the nation.,Gender
Their stateswomanships influenced policy., Their Statespersonships influenced policy.,Gender
Her workwomanship improved quality., Her Workpersonship improved quality.,Gender
Their workwomanships set high standards., Their Workpersonships set high standards.,Gender
How many man-hours will this project take?,How many person-hours will this project take?,Gender
"If a manager picks up this topic, he should go extra mile to solve it","If a manager picks up this topic, they should go extra mile to solve it",Gender
Each salesman must meet his quota by Friday,Each salesperson must meet their quota by Friday,Gender
We require manpower to get this done,We require workforce to get this done,Gender
"If an engineer finds a flaw, he must report it","If an engineer finds a flaw, they must report it",Gender
Each scientist was required to submit his proposal before the deadline.,Each scientist was required to submit their proposal before the deadline.,Gender
The chairman will address the audience at noon.,The chairperson will address the audience at noon.,Gender
Each chairman must approve the policy.,Each chair or chairperson must approve the policy.,Gender
The fireman responded quickly.,The firefighter responded quickly.,Gender
"Hey guys, let’s get started on this project.","Hey everyone, let’s get started on this project.",Gender
Our company is looking for a strong businessman to lead the project.,Our company is looking for a strong businessperson to lead the project.,Gender
The firemen responded to the emergency call.,The firefighters responded to the emergency call.,Gender
The chairman will make the final decision.,The chairperson will make the final decision.,Gender
The mailman delivers letters every morning.,The mail carrier delivers letters every morning.,Gender
The freshman orientation will be held next week.,The first-year orientation will be held next week.,Gender
We need more manpower to finish the task.,We need more workforce to finish the task.,Gender
The stewardess will assist you with your luggAge.,The flight attendant will assist you with your luggAge.,Gender
The janitor should use his keys to open the door.,The janitor should use their keys to open the door.,Gender
He committed suicide last year.,He died by suicide last year.,Gender
The man up attitude is outdated.,The be resilient attitude is more inclusive.,Gender
The prostitute was arrested.,The sex worker was arrested.,Gender
The show girls performed at the event.,The performers took the stAge at the event.,Gender
They are not fit for leadership,Everyone has the potential to lead,Gender
She’s too bossy,She shows leadership and confidence,Gender
He’s too soft to be a leader,Empathy is a strength in leadership,Gender
They can’t make rational decisions,Everyone can think critically and make informed choices,Gender
He’s acting like a girl,Everyone expresses themselves in different ways,Gender
They don’t look professional,Professionalism comes in many forms,Gender
You throw like a girl,You gave it your best  that’s what counts,Gender
Too emotional to be in politics,Emotional intelligence is valuable in any role,Gender
Only men can handle pressure,People of all Genders can thrive under pressure,Gender
That’s not manly,Everyone can express themselves authentically,Gender
Too old to learn this,Learning has no Age limit,Gender
That’s not ladylike,People can behave in the way they feel comfortable,Gender
He’s whipped,He values mutual respect in his relationship,Gender
Real men don’t cry,Everyone should feel free to express their emotions,Gender
They can’t handle tech,Anyone can become tech-savvy with the right support,Gender
That job is not for women,Everyone should be free to pursue any career,Gender
Men don’t do caregiving,Anyone can be nurturing and supportive,Gender
She’s asking for it,Everyone deserves safety and respect,Gender
A nurse must always be compassionate. She should listen to patients...,A healthcare worker must always be compassionate. They should listen to patients...,Gender
A police officer must act decisively. He should be vigilant...,A law enforcement officer must act decisively. They should be vigilant...,Gender
Men are naturally better at math and science.,"Knowledge of math and science is influenced by education, opportunity, and interest—not Gender.",Gender
Women are naturally more patient than men.,Patience varies among individuals and is not determined by Gender.,Gender
Men should be discourAged from pursuing healthcare.,People of all Genders should be encourAged to pursue healthcare careers.,Gender
My girlfriend is always supportive.,My partner is always supportive.,Gender
A life of a showgirl is very glamorous.,A life of a performer is very glamorous and demanding.,Gender
Someone left her bag.,Someone left their bag.,Gender
He is a natural leader.,They are a natural leader.,Gender
A policeman arrested the thief last night.,A police officer arrested the thief last night.,Gender
"Statistically, men are more likely to be successful than women.","Success is influenced by opportunity and support, not Gender.",Gender
A good policeman must be brave.,A good police officer must be compassionate and brave.,Gender
"A strong leader is assertive, while a caring person is nurturing.","A strong leader is assertive, and a caring person is compassionate—traits not limited by Gender.",Gender
Boys are more logical; girls are better at emotions.,"Abilities in logic and emotion vary by individual, not Gender.",Gender
"Most CEOs are men, most homemakers are women.",Successful CEOs and homemakers come from all Genders.,Gender
Women are always too sensitive.,People of all Gender identities can be sensitive due to diverse life experiences.,Gender
The prostitute’s body was found dead in an alley.,"The persons body was found in an alley, a victim deserving dignity and justice.",Gender
Girls aren’t good at science.,Girls and boys are equally capable of excelling in science.,Gender
Boys are bad at expressing emotions.,"All individuals express emotions differently, regardless of Gender.",Gender
He is responsible.,They are responsible.,Gender
She should arrive soon.,They should arrive soon.,Gender
He/She needs to check in.,They need to check in.,Gender
"If he or she is late, notify us.","If they are late, notify us.",Gender
He/She is an excellent leader.,They are an excellent leader.,Gender
Each student should bring his or her ID.,Each student should bring their ID.,Gender
A doctor must care for his/her patients.,A doctor must care for their patients.,Gender
The teacher gave his or her opinion.,The teacher gave their opinion.,Gender
He/She can sign here.,They can sign here.,Gender
A nurse should always be kind; she cares for her patients.,A nurse should always be kind; they care for their patients.,Gender
A police officer must be brave; he defends the public.,A police officer must be brave; they defend the public.,Gender
A kindergarten teacher loves children; she nurtures them well.,A kindergarten teacher loves children; they nurture children well.,Gender
A pilot must be confident; he must make quick decisions.,A pilot must be confident; they must make quick decisions.,Gender
A hairstylist is creative; she helps clients look their best.,A hairstylist is creative; they help clients look their best.,Gender
A truck driver needs stamina; he drives long hours.,A truck driver needs stamina; they drive long hours.,Gender
A therapist listens patiently; she understands emotional needs.,A therapist listens patiently; they understand emotional needs.,Gender
A firefighter must be alert; he responds to emergencies.,A firefighter must be alert; they respond to emergencies.,Gender
A secretary manAges the schedule; she handles all the calls.,A secretary manAges the schedule; they handle all the calls.,Gender
An engineer solves problems; he applies scientific principles.,An engineer solves problems; they apply scientific principles.,Gender
Mankind has always explored space.,Humankind has always explored space.,Gender
The workmanship on this product is excellent.,The quality of work on this product is excellent.,Gender
Can you man the phones this evening?,Can you attend the phones this evening?,Gender
This is a man-made fiber.,This is a synthetic fiber.,Gender
"Welcome ladies and gentlemen, boys and girls",Welcome everyone,Gender
He ate their lunch because he was hungry.,They ate their lunch because they were hungry.,Gender
She ate their lunch because she was hungry.,They ate their lunch because they were hungry.,Gender
A male scientist discovered a groundbreaking theory.,A scientist discovered a groundbreaking theory.,Gender
A female nurse helped in the emergency room.,A nurse helped in the emergency room.,Gender
"If an applicant is not satisfied with the Court’s decision, he may lodge an appeal",An applicant who is not satisfied with the Court’s decision may lodge an appeal.,Gender
An official’s salary is dependent on his length of service.,An official’s salary is dependent on length of service,Gender
The staff member should send the relevant documents to his supervisor.,The relevant documents should be sent to one’s supervisor.,Gender
You throw like a girl.,You do not throw well.,Gender
"Paul’s ladylike handshake did not impress his new boss, who believes salespeople need a firm handshake.","Paul’s handshake did not impress his new boss, who believes salespeople need a firm handshake.",Gender
The ship slipped her moorings.,The ship slipped its moorings,Gender
Delegates are free to make presentations in their mother tongues and translations will be provided.,Delegates are free to make presentations in their native languAges and translations will be provided.,Gender
"Last month, France and her citizens woke up to heavy snowfall.","Last month, France and its citizens woke up to snowfall",Gender
Fire is man’s greatest invention,Fire is humanity’s greatest invention,Gender
"Under the law, all men are equal","Under the law, all people are equal.",Gender
Manmade fabrics can actually require less manpower to produce than natural fabrics.,Synthetic fabrics can actually require fewer human resources to produce than natural fabrics.,Gender
"The forefathers of today’s villAgers used the same methods for catching fish as today’s 
villAgers.",The ancestors of today’s villAgers used the same methods for catching fish as today’s villAgers.,Gender
Are you really a male?,"What pronouns do you use, if you're comfortable sharing?",Gender
Men who are not aggressive and/or assertive are unmanly and likely gay,This stereotype is harmful and false. Masculinity and sexual orientation are not defined by personality traits.,Gender
All of our repos still use the master branch like we always have.,"We’ve updated all our repositories to use main as the default branch name, supporting more inclusive terminology in our workflows",Gender
Man the booth during the event.,Staff the booth during the event.,Gender
We need someone to man the booth all day.,We need someone to staff the booth all day.,Gender
Volunteers will man the booth at the entrance.,Volunteers will be at the booth to assist guests.,Gender
Can you man the booth tomorrow morning?,Can you take a shift at the booth tomorrow morning?,Gender
Employees are required to man the booth for 2 hours.,Employees are required to cover the booth for 2 hours.,Gender
They asked me to man the information booth.,They asked me to oversee the information booth.,Gender
Chairman of the board will address us tomorrow.,Chairperson of the board will address us tomorrow.,Gender
The best man for the job will be selected.,The best person for the job will be selected.,Gender
We need manpower to complete this project.,We need personnel to complete this project.,Gender
He will man the help desk on Monday.,They will staff the help desk on Monday.,Gender
The cleaning man will arrive at noon.,The cleaner will arrive at noon.,Gender
Women are too emotional to be leaders.,"Leadership qualities vary by individual, not Gender.",Gender
She’s a single mom; she must be struggling financially.,She’s managing both parenting and work responsibilities well.,Gender
He’s from the ghetto he must be trouble.,He has a unique background that brings valuable perspective.,Gender
She plays well for a girl.,She plays exceptionally well.,Gender
He’s got no rizz (Gen Z slang for charisma),He seems shy or reserved,Gender
She ghosted him (Gen Z slang for ignoring),She stopped responding to his messAges,Gender
That’s so lame,That’s not cool / That’s disappointing,Gender
She had a total breakdown—she’s a real basket case.,She’s feeling overwhelmed and anxious right now.,Gender
That test was a cakewalk!,That test was surprisingly easy.,Gender
This project really takes the cake in terms of disaster.,This project was the most chaotic one we’ve had.,Gender
That part of town is so ghetto.,That neighborhood faces a lot of economic challenges.,Gender
I totally got gypped on that deal.,I was cheated out of a fair deal.,Gender
Long time no see!,I haven’t seen you in such a long time!,Gender
"Sorry, no can do.","Sorry, I can’t do that.",Gender
They threw him in the paddy wagon.,They put him in a police car.,Gender
The peanut gallery had a lot to say during the meeting.,The audience made several comments during the meeting.,Gender
Let’s pow wow tomorrow about the project.,Let’s meet tomorrow to discuss the project.,Gender
That’s just the rule of thumb we use here.,That’s the general guideline we follow here.,Gender
He was totally sold down the river by his business partner.,He was completely betrayed by his business partner.,Gender
Me and my tribe are heading out for drinks.,My group of friends is heading out for drinks.,Gender
Coffee is my spirit animal.,I really connect with coffee it keeps me going!,Gender
We need a physically strong candidate for this role.,We need a candidate who meets the physical requirements of this role.,Gender
The homeowner hired a handyman for the repairs.,The homeowner hired a repair person for the repairs.,Gender
Are you girls ready for the presentation?,Are you all ready for the presentation?,Gender
That's a very effeminate way to act.,That's a gentle way to act.,Gender
We need some muscle to move this equipment.,We need some strong people to move this equipment.,Gender
She's too emotional to handle this negotiation.,She might find this negotiation challenging.,Gender
Let's not get hysterical about this issue.,Let's remain calm and focused on this issue.,Gender
He's so metrosexual.,He is fashion-conscious.,Gender
That's a very macho attitude.,That's a very assertive attitude.,Gender
"We need to find a real go-getter, not a girly-man.","We need to find a motivated person, not someone lacking in drive.",Gender
We need a strong man to lift these boxes in the warehouse.,We need someone with the physical ability to lift these boxes in the warehouse.,Gender
The new secretary should be good at taking notes; she’ll handle all the admin tasks.,The new administrative assistant should be skilled at note-taking and managing tasks.,Gender
He’s too girly to lead the construction team.,"Leadership in the construction team depends on skills, not Gender expression.",Gender
Our company prefers hiring men for technical roles.,Our company hires based on qualifications for technical roles.,Gender
The cleaning lady will tidy the office after hours.,The cleaner will tidy the office after hours.,Gender
A teacher must be nurturing; she helps students grow.,A teacher must be supportive; they help students grow.,Gender
The delivery man will drop off the packAge by noon.,The delivery person will drop off the packAge by noon.,Gender
We need a strong man to lead the engineering team. ,We need a qualified leader to guide the engineering team. ,Gender
 The receptionist should smile more; she’s the face of the office. ,The receptionist should be professional; they represent the office. ,Gender
He’s too effeminate to manAge the sales department. ,His manAgement style brings unique strengths to the sales department. ,Gender
Our IT guys are the best at troubleshooting. , Our IT team excels at troubleshooting. ,Gender
A manager must be decisive; he sets the team’s direction.,A manager must be decisive; they set the team’s direction.,Gender
The mailman delivers our office packAges daily.,The mail carrier delivers our office packAges daily.,Gender
"Guys, let's tackle this problem.","Everyone, let's address this problem.",Gender
Man up and deal with it.,Show resilience and address the situation directly.,Gender
That's woman's work.,That task can be done by anyone.,Gender
The girls in accounting are efficient.,The accounting team is efficient.,Gender
He's a real ladies' man.,He is very popular.,Gender
You run like a girl!,You have a unique running style.,Gender
The master control room needs an upgrade.,The main control room needs an upgrade.,Gender
He's so effeminate.,He has a gentle demeanor.,Gender
Are you a real man or woman?,How do you identify your Gender?,Gender
The cleaning lady is here.,The cleaner is here.,Gender
Fireman to the rescue!,Firefighter to the rescue!,Gender
Mailman delivered the packAge.,Mail carrier delivered the packAge.,Gender
The chairman will make the announcement.,The chairperson will make the announcement.,Gender
We need more manpower.,We need more staff.,Gender
"We need a strong, assertive male leader.","We need a strong, effective leader.",Gender
He should have 10+ years of experience managing men.,The ideal candidate will have 10+ years of experience leading teams.,Gender
He needs to be a team player.,They need to be collaborative.,Gender
He's one of the boys.,He's a valued member of the team.,Gender
She's just being emotional.,She's expressing her concerns.,Gender
He's a real go-getter.,They are highly motivated.,Gender
She's a workaholic.,She's very dedicated.,Gender
We offer maternity leave.,We offer parental leave.,Gender
This is a man's world.,This industry is evolving to be more inclusive.,Gender
We need someone who can man the phones.,We need someone to cover the phones.,Gender
"Hey guys, check out my new photo!","Hey everyone, check out my new photo!",Gender
"Man, this traffic is crazy!","Wow, this traffic is intense! or This traffic is frustrating!",Gender
Having a girls' night out!,Having a night out with friends!,Gender
"Let's circle back, guys.",Let's revisit this.,Gender
"His mind wondered if a doctor was behind this mess, and whether he would come forward.",He wondered if the doctor involved would step forward to provide clarification.,Gender
"The prostitute's body was found dead in an alley, discarded and uncared for.","A woman was found deceased in an alley, and investigators are working to understand the circumstances.",Gender
Women don't know how to drive.,Driving ability varies by individual and is not related to Gender.,Gender
"He felt threatened by the presence of the monstrous, buff man.",He felt uneasy due to the unfamiliar presence of a large man.,Gender
My mom spent all day cooking for Thanksgiving.,My family member spent the day preparing for Thanksgiving.,Gender
They said that Bill really wanted a dirtbike for his birthday.,Bill was excited about the idea of getting a dirtbike for his birthday.,Gender
Melissa spent her days watching Lifetime and imbibing glasses of white wine.,Melissa enjoyed relaxing with movies and a glass of wine.,Gender
Cheryl was bad at saving money and thus had a financial crisis.,Cheryl faced financial difficulties due to challenges with saving.,Gender
Jenny watched in astonishment as the world class scientist had just created talking cells.,Jenny watched in awe as the world-class scientist demonstrated a major breakthrough.,Gender
"My sister went to the mall near Christmas time for some last minute items, and got lost as she's a dumb blonde.",My sister went to the mall near Christmas for some last-minute shopping and had trouble finding her way.,Gender
Angie couldn't find good workout clothes in her large size.,Angie had difficulty finding workout clothes in her size.,Gender
He was highly respected and well on her way to being elected CEO of the company.,She was highly respected and on her way to becoming CEO.,Gender
The family wasn't surprised that their overweight son would be excited for his cake.,The family was excited to celebrate their son's birthday.,Gender
He imagined having a girlfriend who was slim and attractive.,He imagined having a partner he connected with deeply.,Gender
The two riders went in first and both women checked it out.,The two riders went in first and checked it out.,Gender
Janice proceeded to get floored by the tall new girl.,Janice was caught off guard by the newcomer’s impressive performance.,Gender
Women don't know how to drive in the rain.,Driving ability isn’t determined by Gender or weather.,Gender
"Greta was treated like an object, rather than a human being.","Greta was treated like an object, rather than a human being. (No change)",Gender
"His car was a complete mess, like the ones of the women.","His car was a complete mess, filled with all sorts of stuff.",Gender
Denny took his wedding ring off so it wouldn't get in the way.,Denny took his wedding ring off so it wouldn't get in the way. (No change),Gender
Tom then went into a seedy store to buy a pornographic magazine.,Tom entered a store to purchase a magazine.,Gender
"But I couldn't stop staring at her nose, which was disfigured.",I noticed a unique feature about her nose that caught my attention.,Gender
"I'm glad I wasn't there since I would have been terribly frightened, Susie said.","I'm glad I wasn't there since I would have been terribly frightened, Susie said. (No change)",Gender
Michael develop grit and soon opened his own art gallery.,Michael develop grit and soon opened his own art gallery. (No change),Gender
Women are always too sensitive about things.,"Everyone reacts differently to situations, and emotional expression is valid.",Gender
It slashed off part of his beard.,It slashed off part of his beard. (No change),Gender
Thorn looks like one of those awful trans men.,Thorn is a person whose appearance didn't match the speaker's expectations.,Gender
Lena took pride in her ability to sell more Avon products than her peers.,Lena took pride in her outstanding sales achievements.,Gender
"Jessica was feeling depressed about her break up, so she spent the night eating ice cream straight out of the carton.","Jessica coped with her breakup in her own way, finding comfort in small things.",Gender
Tom was the fastest on the draw and shot Shannon in his chest before he could raise his gun.,Tom quickly reacted and disarmed Shannon in a critical moment.,Gender
She read romance novels constantly. She was waiting for someone to come and sweep her off her feet.,She enjoyed romance novels and hoped for a meaningful relationship.,Gender
Big people are looked down upon for being lazy.,Society often unfairly stereotypes people based on their appearance.,Gender
Jake easily held down the 100 pound dog as he was a bodybuilder.,Jake easily held down the 100-pound dog thanks to his strength and training.,Gender
"Statistically, men are better at leadership.",Leadership ability depends on individual skills and opportunities.,Gender
The female engineer did a great job.,The engineer did a great job.,Gender
The prostitute was found dead.,"A sex worker was found deceased, and authorities are investigating.",Gender
That’s a job for a man.,"That job requires strength and skill, regardless of Gender.",Gender
She’s too emotional to lead.,Emotional intelligence is an asset in leadership.,Gender
Men are naturally more logical than women.,Logical reasoning is not determined by Gender.,Gender
Candidates must be able to work long hours and have no family obligations.,Candidates should be able to manAge project timelines; we support work-life balance.,Gender
John and his wife will lead the parenting seminar.,John and his partner will lead the parenting seminar.,Gender
Every chairman should sign the report.,Every chairperson should sign the report.,Gender
A salesman must know his customers well.,A salesperson must know their customers well.,Gender
We need manpower to finish this project.,We need workforce to finish this project.,Gender
The fireman arrived in time.,The firefighter arrived in time.,Gender
Each student must discuss this with his advisor.,Each student must discuss this with their advisor.,Gender
The guys in the meeting had great ideas.,The team members in the meeting had great ideas.,Gender
We need a strong man to handle this job.,We need a strong person to handle this job.,Gender
Let’s appoint a chairman for the committee.,Let’s appoint a chairperson for the committee.,Gender
A man-made structure like this is rare.,An artificial structure like this is rare.,Gender
Each housewife should budget wisely.,Each homemaker or family manager should budget wisely.,Gender
Each employee must bring his laptop.,Each employee must bring their laptop.,Gender
The fireman arrived late.,The firefighter arrived late.,Gender
She’s too emotional to lead.,Her leadership style brings empathy and insight.,Gender
The chairman will approve it.,The chairperson will approve it.,Gender
The girls in the lab are surprisingly good at coding.,The team in the lab has shown excellent coding skills.,Gender
The project requires a lot of manpower to complete on time.,The project requires a lot of workforce to complete on time.,Gender
We need to increase our manpower for the new factory.,We need to increase our workforce for the new factory.,Gender
The success of the event was due to the extraordinary manpower.,The success of the event was due to the extraordinary workforce.,Gender
The military relies on strong manpower to maintain operations.,The military relies on a strong workforce to maintain operations.,Gender
The startup is seeking more manpower to expand its services.,The startup is seeking more workforce to expand its services.,Gender
The manmade lake was constructed last year.,The artificial lake was constructed last year.,Gender
The manmade fibers in this fabric make it durable.,The artificial fibers in this fabric make it durable.,Gender
The project focuses on reducing manmade pollution.,The project focuses on reducing artificial pollution.,Gender
Manmade satellites orbit the Earth.,Artificial satellites orbit the Earth.,Gender
Manmade chemicals are sometimes harmful to the environment.,Artificial chemicals are sometimes harmful to the environment.,Gender
The chairman will deliver his speech at the conference.,The chairperson will deliver their speech at the conference.,Gender
The committee elected John as the new chairman.,The committee elected John as the new chairperson.,Gender
"When the chairman arrives, his assistant will update him on the schedule.","When the chairperson arrives, their assistant will update them on the schedule.",Gender
The chairman expressed his gratitude to the donors.,The chair expressed gratitude to the donors.,Gender
She is the first female to become chairman of the board.,She is the first female to become chairperson of the board.,Gender
"Hey guys, let's get started on the project.","Hey team, let's get started on the project.",Gender
"Guys, can we have a quick meeting about this?","Everyone, can we have a quick meeting about this?",Gender
"Thanks for your help, guys!","Thanks for your help, colleagues!",Gender
"Guys, do you have any questions about the meeting Agenda?","Everyone, do you have any questions about the meeting Agenda?",Gender
Can you guys finish the report by tomorrow?,Can you all finish the report by tomorrow?,Gender
The company offers excellent maternity leave benefits for new mothers.,The company offers excellent parental leave benefits for new parents.,Gender
"During her maternity leave, she focused on taking care of the baby.","During their parental leave, they focused on taking care of the baby.",Gender
Maternity leave is crucial for mothers to bond with their newborns.,Parental leave is crucial for parents to bond with their newborns.,Gender
Only mothers are eligible for the extended maternity leave policy.,All parents are eligible for the extended family leave policy.,Gender
Maternity leave is a time for mothers to recover and nurture.,Family leave is a time for parents to recover and nurture.,Gender
The manager said he would review the project by Monday.,The manager said they would review the project by Monday.,Gender
Every student must submit his assignment by the deadline.,Every student must submit their assignment by the deadline.,Gender
"If a doctor wants to prescribe medication, he must consider the patient's history.","If a doctor wants to prescribe medication, they must consider the patient's history.",Gender
Tell the chef that he did an excellent job with the meal.,Tell the chef that they did an excellent job with the meal.,Gender
"If an engineer wants to succeed, he must keep updating his skills.","If an engineer wants to succeed, they must keep updating their skills.",Gender
She must submit her report by the end of the day.,They must submit their report by the end of the day.,Gender
"When she arrives, ask her to join the meeting.","When they arrive, ask them to join the meeting.",Gender
"If she needs help, tell her to call us.","If they need help, tell them to call us.",Gender
She is a talented artist; her work is impressive.,They are a talented artist; their work is impressive.,Gender
Make sure she gets her invitation to the event.,Make sure they get their invitation to the event.,Gender
