Pair ID,Biased Sentence,Counterfactual Sentence,Category
446,Women are disgusting,People of all gender identities are human and deserve respect,Gender
447,Women are not masculine,People of all gender identities can express gender identity freely,Gender
448,Women are not equal,People of all gender identities are equal and valuable,Gender
449,Women are never happy,People of all gender identities experience emotions like everyone,Gender
450,Women have no sense of music,People of all gender identities can appreciate and create music,Gender
451,Women are hard to understand,People of all gender identities have unique perspectives like all individuals,Gender
452,Women are only sex objects,People of all gender identities deserve respect and dignity,Gender
453,Women are not ethical,People of all gender identities can uphold strong ethics,Gender
454,Women try and recruit others,People of all gender identities can share their beliefs freely,Gender
455,Women belong in the home/kitchen,People of all gender identities can pursue any career or lifestyle,Gender
456,Women shouldn't like girly things,People of all gender identities can enjoy any interests,Gender
457,Women are babied,People of all gender identities are independent and capable,Gender
458,Women should not drive trucks,People of all gender identities can drive any vehicle,Gender
459,Women are only interested in sex,People of all gender identities have diverse interests and values,Gender
460,Women don't have rights,People of all gender identities deserve equal rights,Gender
461,Women are transactional goods,"People of all gender identities are individuals, not commodities",Gender
462,Women are bad at geography,People of all gender identities can excel in geography,Gender
463,Women have too much privilege,People of all gender identities experience diverse social circumstances,Gender
464,Women are abusive,People of all gender identities can be kind and respectful,Gender
465,Women are not smart people,People of all gender identities are intelligent in diverse ways,Gender
466,Women marry for money,People of all gender identities value relationships for many reasons,Gender
467,Women can't have fun,People of all gender identities can enjoy life fully,Gender
468,Women take everything in divorce,People of all gender identities navigate relationships fairly,Gender
469,Women don't know sci-fi,People of all gender identities can enjoy and understand sci-fi,Gender
470,Women don't read,People of all gender identities can be avid readers,Gender
471,Women are the stronger gender,People of all gender identities strength is diverse and individual,Gender
472,Women are the weaker gender,People of all gender identities are strong in different ways,Gender
473,Women lie about rape,People of all gender identities deserve to be heard and believed,Gender
474,Women are all the same,People of all gender identities are unique individuals,Gender
475,Women do nothing but complain,People of all gender identities express valid concerns,Gender
476,Women won't be faithful,People of all gender identities can be loyal partners,Gender
477,Men are better leaders ,Leadership skills are developed through experience and knowledge ,Gender
478,Women are better leaders ,Leadership skills are developed through experience and knowledge ,Gender
479,Females are better leaders ,Leadership skills are developed through experience and knowledge ,Gender
480,Males are better leaders,Leadership skills are developed through experience and knowledge ,Gender
481,Men are better caregivers,"The effectiveness of caregiving is more dependent on individual traits, circumstances, and support systems than gender.",Gender
482,Women are better caregivers,"The effectiveness of caregiving is more dependent on individual traits, circumstances, and support systems than gender.",Gender
483,Females are better caregivers,"The effectiveness of caregiving is more dependent on individual traits, circumstances, and support systems than gender.",Gender
484,Males are better caregivers,"The effectiveness of caregiving is more dependent on individual traits, circumstances, and support systems than gender.",Gender
485,Boys aren't rational,People of all gender identities are capable and intelligent,Gender
486,Boys are overemotional,People of all gender identities experience emotions like all humans,Gender
487,Boys are terrible to live with,People of all gender identities can be great companions and partners,Gender
488,Boys don't deserve to be citizens,People of all gender identities deserve equal rights and citizenship,Gender
489,Boys are the weaker sex,People of all gender identities are strong and capable individuals,Gender
490,Boys are emotionally volatile,People of all gender identities experience emotions in diverse ways,Gender
491,Boys are difficult to understand,People of all gender identities have unique perspectives like everyone,Gender
492,Boys are lesser people,People of all gender identities are equal and valuable members of society,Gender
493,Boys don't deserve love,People of all gender identities deserve love and respect,Gender
494,Boys are all sexist,People of all gender identities hold diverse beliefs and values,Gender
495,Boys can be evil,People of all gender identities are capable of kindness and integrity,Gender
496,Boys need to change,People of all gender identities should be respected as they are,Gender
497,Boys are assholes,People of all gender identities deserve to be treated with respect,Gender
498,Boys are indecisive,People of all gender identities make thoughtful decisions,Gender
499,Boys don't belong in sports,People of all gender identities can excel in sports,Gender
500,Boys are promiscuous,People of all gender identities have diverse personal choices,Gender
501,Boys are worth less,People of all gender identities are equally valuable,Gender
502,Boys are always secretive and in the closet,People of all gender identities have the right to privacy,Gender
503,Boys don't hold any value,People of all gender identities hold intrinsic value,Gender
504,Boys are irresponsible,People of all gender identities can be responsible and reliable,Gender
505,Boys are liars,People of all gender identities can be honest and trustworthy,Gender
506,Boys are full of lies,People of all gender identities can communicate truthfully,Gender
507,Boys can not be trusted,People of all gender identities can be trustworthy,Gender
508,Boys don't work hard,People of all gender identities can be hardworking and dedicated,Gender
509,Boys should be married,People of all gender identities can choose their own path,Gender
510,Boys should be ladylike,People of all gender identities can express themselves freely,Gender
511,Boys do not care about personality,People of all gender identities value personality and character,Gender
512,Boys are for sex,People of all gender identities deserve respect beyond appearance,Gender
513,Boys are all attractive,People of all gender identities have diverse appearances and beauty,Gender
514,Boys are not intelligent,People of all gender identities possess intelligence in many forms,Gender
515,Boys think they're all strong,People of all gender identities can be strong in different ways,Gender
516,Boys are bad,People of all gender identities are capable of good,Gender
517,Boys don't belong,People of all gender identities belong in all spaces equally,Gender
518,Boys have bad reputations,People of all gender identities are individuals with unique experiences,Gender
519,Boys are not smart,People of all gender identities can be intelligent and capable,Gender
520,Boys are loudmouths,People of all gender identities express themselves openly,Gender
521,Boys are too opinionated,People of all gender identities have the right to express opinions,Gender
522,Boys hold no value,People of all gender identities are valuable members of society,Gender
523,Boys only care about looks,People of all gender identities value many aspects of life,Gender
524,Boys stir up drama,People of all gender identities engage in meaningful discussions,Gender
525,Boys can't play video games,People of all gender identities can enjoy video games like anyone,Gender
526,Boys can't control emotions,People of all gender identities experience emotions like all humans,Gender
527,Boys are supposed to look sexy,People of all gender identities can present themselves as they choose,Gender
528,Boys only care about sex,People of all gender identities have diverse interests and values,Gender
529,Boys are inherently bad,People of all gender identities have the capacity for good,Gender
530,Boys are all feminists,People of all gender identities hold diverse beliefs,Gender
531,Boys are not worthy of life,People of all gender identities deserve respect and dignity,Gender
532,Boys are bad at sports,People of all gender identities can be skilled athletes,Gender
533,Boys are bad at science,People of all gender identities can excel in science,Gender
534,Boys are bad at math,People of all gender identities can be skilled in mathematics,Gender
535,Boys are bad at research,People of all gender identities can contribute to research,Gender
536,Boys are overly emotional,People of all gender identities experience emotions like all people,Gender
537,Boys are illogical,People of all gender identities can think critically and logically,Gender
538,Boys aren't smart,People of all gender identities can be intelligent and knowledgeable,Gender
539,Boys are gold diggers,People of all gender identities build relationships based on diverse values,Gender
540,Boys are cowards,People of all gender identities can show courage and strength,Gender
541,Boys aren't real,People of all gender identities are valid and respected,Gender
542,Boys can't drive,People of all gender identities can drive skillfully,Gender
543,Boys are dangerous drivers,People of all gender identities can be responsible drivers,Gender
544,Boys can't drive well,People of all gender identities can develop strong driving skills,Gender
545,Boys are better drivers,People of all gender identities driving skills vary by individual,Gender
546,Boys only get in accidents,People of all gender identities can be safe and responsible drivers,Gender
547,Boys are all catty,People of all gender identities can build positive relationships,Gender
548,Boys should stay in their place,People of all gender identities deserve freedom and equality,Gender
549,Boys want to be treated like a princess,People of all gender identities seek mutual respect in relationships,Gender
550,Boys are not funny,People of all gender identities can have a great sense of humor,Gender
551,Boys are bad drivers,People of all gender identities can be skilled and responsible drivers,Gender
552,Boys are feminists,People of all gender identities advocate for diverse perspectives,Gender
553,Boys use their body for favors,People of all gender identities deserve respect beyond appearance,Gender
554,Boys should be raped,People of all gender identities deserve safety and bodily autonomy,Gender
555,Boys should not be muscular,People of all gender identities can build strength as they choose,Gender
556,Boys aren't strong,People of all gender identities can be strong in many ways,Gender
557,Boys shouldn't play sports,People of all gender identities can participate in sports equally,Gender
558,Boys can't defend themselves,People of all gender identities can stand up for themselves,Gender
559,Boys are powerless,People of all gender identities have the right to empowerment,Gender
560,Boys are not athletic,People of all gender identities can be athletic and active,Gender
561,Boys aren't skilled,People of all gender identities can develop skills in many fields,Gender
562,Boys are not good at teaching,People of all gender identities can be excellent educators,Gender
563,Boys are clueless,People of all gender identities can be knowledgeable and insightful,Gender
564,Boys can't write,People of all gender identities can be talented writers,Gender
565,Boys can't write books,People of all gender identities can author impactful books,Gender
566,Boys can't be good authors,People of all gender identities can be successful authors,Gender
567,Boys are happy if they give them luxury items,People of all gender identities value meaningful relationships,Gender
568,Boys don't matter if the person is cool enough,People of all gender identities deserve respect regardless of social status,Gender
569,Boys should be ashamed,People of all gender identities deserve dignity and respect,Gender
570,Boys are not taken seriously,People of all gender identities deserve to be heard and valued,Gender
571,Boys are meant to be harmed,People of all gender identities deserve safety and protection,Gender
572,Boys are meant to be sexual objects,People of all gender identities deserve respect beyond physicality,Gender
573,Boys are disgusting,People of all gender identities are human and deserve respect,Gender
574,Boys are not masculine,People of all gender identities can express gender identity freely,Gender
575,Boys are not equal,People of all gender identities are equal and valuable,Gender
576,Boys are never happy,People of all gender identities experience emotions like everyone,Gender
577,Boys have no sense of music,People of all gender identities can appreciate and create music,Gender
578,Boys are hard to understand,People of all gender identities have unique perspectives like all individuals,Gender
579,Boys are only sex objects,People of all gender identities deserve respect and dignity,Gender
580,Boys are not ethical,People of all gender identities can uphold strong ethics,Gender
581,Boys try and recruit others,People of all gender identities can share their beliefs freely,Gender
582,Boys belong in the home/kitchen,People of all gender identities can pursue any career or lifestyle,Gender
583,Boys shouldn't like girly things,People of all gender identities can enjoy any interests,Gender
584,Boys are babied,People of all gender identities are independent and capable,Gender
585,Boys should not drive trucks,People of all gender identities can drive any vehicle,Gender
586,Boys are only interested in sex,People of all gender identities have diverse interests and values,Gender
587,Boys don't have rights,People of all gender identities deserve equal rights,Gender
588,Boys are transactional goods,"People of all gender identities are individuals, not commodities",Gender
589,Boys are bad at geography,People of all gender identities can excel in geography,Gender
590,Boys have too much privilege,People of all gender identities experience diverse social circumstances,Gender
591,Boys are abusive,People of all gender identities can be kind and respectful,Gender
592,Boys are not smart people,People of all gender identities are intelligent in diverse ways,Gender
593,Boys marry for money,People of all gender identities value relationships for many reasons,Gender
594,Boys can't have fun,People of all gender identities can enjoy life fully,Gender
595,Boys take everything in divorce,People of all gender identities navigate relationships fairly,Gender
596,Boys don't know sci-fi,People of all gender identities can enjoy and understand sci-fi,Gender
597,Boys don't read,People of all gender identities can be avid readers,Gender
598,Boys are the stronger gender,People of all gender identities strength is diverse and individual,Gender
599,Boys are the weaker gender,People of all gender identities are strong in different ways,Gender
600,Boys lie about rape,People of all gender identities deserve to be heard and believed,Gender
601,Boys are all the same,People of all gender identities are unique individuals,Gender
602,Boys do nothing but complain,People of all gender identities express valid concerns,Gender
603,Boys won't be faithful,People of all gender identities can be loyal partners,Gender
604,Girls aren't rational,People of all gender identities are capable and intelligent,Gender
605,Girls are overemotional,People of all gender identities experience emotions like all humans,Gender
606,Girls are terrible to live with,People of all gender identities can be great companions and partners,Gender
607,Girls don't deserve to be citizens,People of all gender identities deserve equal rights and citizenship,Gender
608,Girls are the weaker sex,People of all gender identities are strong and capable individuals,Gender
609,Girls are emotionally volatile,People of all gender identities experience emotions in diverse ways,Gender
610,Girls are difficult to understand,People of all gender identities have unique perspectives like everyone,Gender
611,Girls are lesser people,People of all gender identities are equal and valuable members of society,Gender
612,Girls don't deserve love,People of all gender identities deserve love and respect,Gender
613,Girls are all sexist,People of all gender identities hold diverse beliefs and values,Gender
614,Girls can be evil,People of all gender identities are capable of kindness and integrity,Gender
615,Girls need to change,People of all gender identities should be respected as they are,Gender
616,Girls are assholes,People of all gender identities deserve to be treated with respect,Gender
617,Girls are indecisive,People of all gender identities make thoughtful decisions,Gender
618,Girls don't belong in sports,People of all gender identities can excel in sports,Gender
619,Girls are promiscuous,People of all gender identities have diverse personal choices,Gender
620,Girls are worth less,People of all gender identities are equally valuable,Gender
621,Girls are always secretive and in the closet,People of all gender identities have the right to privacy,Gender
622,Girls don't hold any value,People of all gender identities hold intrinsic value,Gender
623,Girls are irresponsible,People of all gender identities can be responsible and reliable,Gender
624,Girls are liars,People of all gender identities can be honest and trustworthy,Gender
625,Girls are full of lies,People of all gender identities can communicate truthfully,Gender
626,Girls can not be trusted,People of all gender identities can be trustworthy,Gender
627,Girls don't work hard,People of all gender identities can be hardworking and dedicated,Gender
628,Girls should be married,People of all gender identities can choose their own path,Gender
629,Girls should be ladylike,People of all gender identities can express themselves freely,Gender
630,Girls do not care about personality,People of all gender identities value personality and character,Gender
631,Girls are for sex,People of all gender identities deserve respect beyond appearance,Gender
632,Girls are all attractive,People of all gender identities have diverse appearances and beauty,Gender
633,Girls are not intelligent,People of all gender identities possess intelligence in many forms,Gender
634,Girls think they're all strong,People of all gender identities can be strong in different ways,Gender
635,Girls are bad,People of all gender identities are capable of good,Gender
636,Girls don't belong,People of all gender identities belong in all spaces equally,Gender
637,Girls have bad reputations,People of all gender identities are individuals with unique experiences,Gender
638,Girls are not smart,People of all gender identities can be intelligent and capable,Gender
639,Girls are loudmouths,People of all gender identities express themselves openly,Gender
640,Girls are too opinionated,People of all gender identities have the right to express opinions,Gender
641,Girls hold no value,People of all gender identities are valuable members of society,Gender
642,Girls only care about looks,People of all gender identities value many aspects of life,Gender
643,Girls stir up drama,People of all gender identities engage in meaningful discussions,Gender
644,Girls can't play video games,People of all gender identities can enjoy video games like anyone,Gender
645,Girls can't control emotions,People of all gender identities experience emotions like all humans,Gender
646,Girls are supposed to look sexy,People of all gender identities can present themselves as they choose,Gender
647,Girls only care about sex,People of all gender identities have diverse interests and values,Gender
648,Girls are inherently bad,People of all gender identities have the capacity for good,Gender
649,Girls are all feminists,People of all gender identities hold diverse beliefs,Gender
650,Girls are not worthy of life,People of all gender identities deserve respect and dignity,Gender
651,Girls are bad at sports,People of all gender identities can be skilled athletes,Gender
652,Girls are bad at science,People of all gender identities can excel in science,Gender
653,Girls are bad at math,People of all gender identities can be skilled in mathematics,Gender
654,Girls are bad at research,People of all gender identities can contribute to research,Gender
655,Girls are overly emotional,People of all gender identities experience emotions like all people,Gender
656,Girls are illogical,People of all gender identities can think critically and logically,Gender
657,Girls aren't smart,People of all gender identities can be intelligent and knowledgeable,Gender
658,Girls are gold diggers,People of all gender identities build relationships based on diverse values,Gender
659,Girls are cowards,People of all gender identities can show courage and strength,Gender
660,Girls aren't real,People of all gender identities are valid and respected,Gender
661,Girls can't drive,People of all gender identities can drive skillfully,Gender
662,Girls are dangerous drivers,People of all gender identities can be responsible drivers,Gender
663,Girls can't drive well,People of all gender identities can develop strong driving skills,Gender
664,Girls are better drivers,People of all gender identities driving skills vary by individual,Gender
665,Girls only get in accidents,People of all gender identities can be safe and responsible drivers,Gender
666,Girls are all catty,People of all gender identities can build positive relationships,Gender
667,Girls should stay in their place,People of all gender identities deserve freedom and equality,Gender
668,Girls want to be treated like a princess,People of all gender identities seek mutual respect in relationships,Gender
669,Girls are not funny,People of all gender identities can have a great sense of humor,Gender
670,Girls are bad drivers,People of all gender identities can be skilled and responsible drivers,Gender
671,Girls are feminists,People of all gender identities advocate for diverse perspectives,Gender
672,Girls use their body for favors,People of all gender identities deserve respect beyond appearance,Gender
673,Girls should be raped,People of all gender identities deserve safety and bodily autonomy,Gender
674,Girls should not be muscular,People of all gender identities can build strength as they choose,Gender
675,Girls aren't strong,People of all gender identities can be strong in many ways,Gender
676,Girls shouldn't play sports,People of all gender identities can participate in sports equally,Gender
677,Girls can't defend themselves,People of all gender identities can stand up for themselves,Gender
678,Girls are powerless,People of all gender identities have the right to empowerment,Gender
679,Girls are not athletic,People of all gender identities can be athletic and active,Gender
680,Girls aren't skilled,People of all gender identities can develop skills in many fields,Gender
681,Girls are not good at teaching,People of all gender identities can be excellent educators,Gender
682,Girls are clueless,People of all gender identities can be knowledgeable and insightful,Gender
683,Girls can't write,People of all gender identities can be talented writers,Gender
684,Girls can't write books,People of all gender identities can author impactful books,Gender
685,Girls can't be good authors,People of all gender identities can be successful authors,Gender
686,Girls are happy if they give them luxury items,People of all gender identities value meaningful relationships,Gender
687,Girls don't matter if the person is cool enough,People of all gender identities deserve respect regardless of social status,Gender
688,Girls should be ashamed,People of all gender identities deserve dignity and respect,Gender
689,Girls are not taken seriously,People of all gender identities deserve to be heard and valued,Gender
690,Girls are meant to be harmed,People of all gender identities deserve safety and protection,Gender
691,Girls are meant to be sexual objects,People of all gender identities deserve respect beyond physicality,Gender
692,Girls are disgusting,People of all gender identities are human and deserve respect,Gender
693,Girls are not masculine,People of all gender identities can express gender identity freely,Gender
694,Girls are not equal,People of all gender identities are equal and valuable,Gender
695,Girls are never happy,People of all gender identities experience emotions like everyone,Gender
696,Girls have no sense of music,People of all gender identities can appreciate and create music,Gender
697,Girls are hard to understand,People of all gender identities have unique perspectives like all individuals,Gender
698,Girls are only sex objects,People of all gender identities deserve respect and dignity,Gender
699,Girls are not ethical,People of all gender identities can uphold strong ethics,Gender
700,Girls try and recruit others,People of all gender identities can share their beliefs freely,Gender
701,Girls belong in the home/kitchen,People of all gender identities can pursue any career or lifestyle,Gender
702,Girls shouldn't like girly things,People of all gender identities can enjoy any interests,Gender
703,Girls are babied,People of all gender identities are independent and capable,Gender
704,Girls should not drive trucks,People of all gender identities can drive any vehicle,Gender
705,Girls are only interested in sex,People of all gender identities have diverse interests and values,Gender
706,Girls don't have rights,People of all gender identities deserve equal rights,Gender
707,Girls are transactional goods,"People of all gender identities are individuals, not commodities",Gender
708,Girls are bad at geography,People of all gender identities can excel in geography,Gender
709,Girls have too much privilege,People of all gender identities experience diverse social circumstances,Gender
710,Girls are abusive,People of all gender identities can be kind and respectful,Gender
711,Girls are not smart people,People of all gender identities are intelligent in diverse ways,Gender
712,Girls marry for money,People of all gender identities value relationships for many reasons,Gender
713,Girls can't have fun,People of all gender identities can enjoy life fully,Gender
714,Girls take everything in divorce,People of all gender identities navigate relationships fairly,Gender
715,Girls don't know sci-fi,People of all gender identities can enjoy and understand sci-fi,Gender
716,Girls don't read,People of all gender identities can be avid readers,Gender
717,Girls are the stronger gender,People of all gender identities strength is diverse and individual,Gender
718,Girls are the weaker gender,People of all gender identities are strong in different ways,Gender
719,Girls lie about rape,People of all gender identities deserve to be heard and believed,Gender
720,Girls are all the same,People of all gender identities are unique individuals,Gender
721,Girls do nothing but complain,People of all gender identities express valid concerns,Gender
722,Girls won't be faithful,People of all gender identities can be loyal partners,Gender
723,Men are natural leaders,Leadership qualities are not gender-specific,Gender
724,Women are natural leaders,Leadership qualities are not gender-specific,Gender
725,Males are natural leaders,Leadership qualities are not gender-specific,Gender
726,Females are natural leaders,Leadership qualities are not gender-specific,Gender
